code,name_es
01,JEFATURA DE ESTADO
02,PRESIDENCIA DEL GOBIERNO
03,CAMARA DE LOS DIPUTADOS
04,SENADO
05,PODER JUDICIAL
06,MINISTERIO FISCAL
07,TRIBUNAL CONSTITUCIONAL
09,CONSEJO DE LA REPUBLICA
10,DEFENSOR DEL PUEBLO
12,ASUNTOS EXTERIORES Y COOPERACION
13,"JUSTICIA, CULTO E INSTIT. PENITENCIARIAS"
14,DEFENSA NACIONAL
15,INTERIOR Y CORPORACIONES LOCALES
16,SEGURIDAD NACIONAL
19,FUNCION PUBLICA Y REFORMA ADMINISTRATIVA
20,"HACIENDA, ECONOMIA Y PLANIFICACION"
21,COMERCIO Y PROMOCION DE PYMES
26,"EDUCACION, ENSEÃ‘ANZA UNIVERSITARIA Y DEPORTES"
27,"CULTURA, TURISMO Y PROMOCION ARTESANAL"
28,"INFORMACION, PRENSA Y RADIO"
34,SANIDAD Y BIENESTAR
35,"TRABAJO, FOMENTO DE EMPLEO Y SEGDAD. SOCIAL"
36,ASUNTOS SOCIALES E IGUALDAD DE GENERO
40,"AGRICULTURA, GANADERIA, BOSQUES Y MEDIO AMBIENTE"
41,PESCA Y RECURSOS HIDRICOS
42,MINAS E HIDROCARBUROS
43,INDUSTRIA Y ENERGIA
44,"OBRAS PUBLICAS, VIVIENDAS Y URBANISMOS"
51,"TRANSPORTES, CORREOS Y TELECOMUNICACIONES"
52,AVIACION CIVIL
55,GASTOS COMUNES Y OBLIGACIONES DIVERSAS
56,C.A.A. DEUDA PUBLICA (INTERESES CORRIENTES)
56,C.A.A. DEUDA PUBLICA (CONTRIBUCIONES A ORGAN.)
